Mon 15:49:59,288m,7%,7.2,1689Mi,43%,750,18,18.75
Mon 15:51:00,295m,7%,7.375,1690Mi,43%,750,18,18.75
Mon 15:52:00,287m,7%,7.175,1689Mi,43%,750,18,18.75
Mon 15:53:00,285m,7%,7.125,1690Mi,43%,750,18,18.75
Mon 15:54:00,286m,7%,7.15,1690Mi,43%,750,18,18.75
Mon 15:55:00,299m,7%,7.475,1690Mi,43%,750,18,18.75
Mon 15:56:00,298m,7%,7.45,1690Mi,43%,750,18,18.75
Mon 15:57:00,299m,7%,7.475,1690Mi,43%,750,18,18.75
Mon 15:58:00,300m,7%,7.5,1690Mi,43%,750,18,18.75
Mon 15:59:00,303m,7%,7.575,1690Mi,43%,750,18,18.75
Mon 16:00:00,301m,7%,7.525,1690Mi,43%,750,18,18.75
Mon 16:01:00,322m,8%,8.05,1690Mi,43%,906,22,22.65
Mon 16:02:00,475m,11%,11.875,1703Mi,44%,1101,27,27.525
Mon 16:03:00,475m,11%,11.875,1732Mi,45%,1257,31,31.425
Mon 16:04:00,411m,10%,10.275,1751Mi,45%,1413,35,35.325
Mon 16:05:00,457m,11%,11.425,1774Mi,46%,1608,40,40.2
Mon 16:06:01,453m,11%,11.325,1797Mi,46%,1725,43,43.125
Mon 16:07:00,500m,12%,12.5,1827Mi,47%,1881,47,47.025
Mon 16:08:00,483m,12%,12.075,1852Mi,48%,2037,50,50.925
Mon 16:09:00,552m,13%,13.8,1874Mi,48%,2271,56,56.775
Mon 16:10:00,553m,13%,13.825,1899Mi,49%,2349,58,58.725
Mon 16:11:00,568m,14%,14.2,1896Mi,49%,2505,62,62.625
Mon 16:12:00,577m,14%,14.425,1915Mi,49%,2700,67,67.5
Mon 16:13:00,649m,16%,16.225,1949Mi,50%,2856,71,71.4
Mon 16:14:00,596m,14%,14.9,1975Mi,51%,2973,74,74.325
Mon 16:15:01,762m,19%,19.05,1994Mi,51%,2895,72,72.375
Mon 16:16:00,1130m,28%,28.25,2023Mi,52%,2973,74,74.325
Mon 16:17:01,1259m,31%,31.475,2013Mi,52%,2973,74,74.325
Mon 16:18:00,1257m,31%,31.425,2032Mi,52%,3051,76,76.275
Mon 16:19:00,1306m,32%,32.65,2040Mi,53%,3090,77,77.25
Mon 16:20:00,1246m,31%,31.15,2055Mi,53%,3129,78,78.225
Mon 16:21:00,1069m,26%,26.725,2071Mi,53%,3129,78,78.225
Mon 16:22:00,1389m,34%,34.725,2066Mi,53%,3012,75,75.3
Mon 16:23:00,1241m,31%,31.025,2061Mi,53%,2934,73,73.35
Mon 16:24:00,1488m,37%,37.2,2054Mi,53%,2973,74,74.325
Mon 16:25:00,1202m,30%,30.05,2072Mi,53%,3012,75,75.3
Mon 16:26:00,1420m,35%,35.5,2083Mi,54%,2973,74,74.325
Mon 16:27:00,1849m,46%,46.225,2085Mi,54%,3012,75,75.3
Mon 16:28:00,1383m,34%,34.575,2087Mi,54%,3012,75,75.3
Mon 16:29:01,1619m,40%,40.475,2081Mi,54%,3090,77,77.25
Mon 16:30:00,1515m,37%,37.875,2107Mi,54%,3090,77,77.25
Mon 16:31:00,2064m,51%,51.6,2093Mi,54%,3090,77,77.25
Mon 16:32:00,2064m,51%,51.6,2107Mi,54%,3129,78,78.225
Mon 16:33:00,1864m,46%,46.6,2119Mi,55%,3129,78,78.225
Mon 16:34:00,2004m,50%,50.1,2108Mi,54%,3129,78,78.225
Mon 16:35:00,1973m,49%,49.325,2140Mi,55%,3129,78,78.225
Mon 16:36:01,1806m,45%,45.15,2129Mi,55%,3168,79,79.2
Mon 16:37:00,853m,21%,21.325,2126Mi,55%,3207,80,80.175
Mon 16:38:00,1397m,34%,34.925,2123Mi,55%,3168,79,79.2
Mon 16:39:00,1883m,47%,47.075,2137Mi,55%,3207,80,80.175
Mon 16:40:00,1872m,46%,46.8,2143Mi,55%,3207,80,80.175
Mon 16:41:00,2147m,53%,53.675,2140Mi,55%,3285,82,82.125
Mon 16:42:00,1547m,38%,38.675,2142Mi,55%,3207,80,80.175
Mon 16:43:00,1991m,49%,49.775,2157Mi,56%,3168,79,79.2
