11:44:01,262m,13%,13.1,1826Mi,47%,750,37,37.5
11:45:00,241m,12%,12.05,1826Mi,47%,750,37,37.5
11:46:00,224m,11%,11.2,1826Mi,47%,830,41,41.5
11:47:00,399m,19%,19.95,1855Mi,48%,890,44,44.5
11:48:01,417m,20%,20.85,1877Mi,48%,970,48,48.5
11:49:01,491m,24%,24.55,1908Mi,49%,1050,52,52.5
11:50:00,444m,22%,22.2,1940Mi,50%,1100,55,55
11:51:00,392m,19%,19.6,1956Mi,50%,1170,58,58.5
11:52:00,497m,24%,24.85,1969Mi,51%,1240,62,62
11:53:00,459m,22%,22.95,1985Mi,51%,1310,65,65.5
11:54:00,452m,22%,22.6,2005Mi,52%,1390,69,69.5
11:55:00,546m,27%,27.3,2033Mi,52%,1460,73,73
11:56:00,580m,28%,29,2050Mi,53%,1440,72,72
11:57:01,684m,34%,34.2,2059Mi,53%,1470,73,73.5
11:58:00,730m,36%,36.5,2073Mi,53%,1450,72,72.5
11:59:00,678m,33%,33.9,2066Mi,53%,1450,72,72.5
12:00:00,713m,35%,35.65,2071Mi,53%,1490,74,74.5
12:01:01,702m,35%,35.1,2086Mi,54%,1700,85,85
12:02:00,1237m,61%,61.85,2073Mi,53%,1720,86,86
12:03:01,856m,42%,42.8,2091Mi,54%,1720,86,86
